,,val_loss,val_loss
l2_coeff,,9.9999999999999995e-07,0.001
dropout_keep,lr,,
0.5,0.001,0.668063223362,0.693983018398
0.5,0.1,0.764947652817,0.610900640488
0.8,0.001,0.847830653191,0.670795142651
0.8,0.1,0.794316053391,0.702635288239
