,,val_loss,val_loss
l2_coeff,,9.9999999999999995e-07,0.001
dropout_keep,lr,,
0.5,0.001,0.621310174465,0.688063383102
0.5,0.1,0.843342125416,0.621192574501
0.8,0.001,0.684879422188,0.662943899632
0.8,0.1,0.899433910847,0.718908548355
