,,val_loss,val_loss,val_loss
l2_coeff,,0.0,9.9999999999999995e-07,0.001
dropout_keep,lr,,,
0.001,1e-05,78.1910095215,76.6010742188,65.2200164795
0.001,0.001,0.98826944828,1.05181205273,0.89028686285
0.001,0.1,0.688209652901,0.684091806412,0.697116553783
0.2,1e-05,56.7465820312,56.6103096008,71.4934234619
0.2,0.001,0.692015767097,0.692660987377,0.693337678909
0.2,0.1,0.693150758743,0.656549751759,0.662650048733
0.5,1e-05,65.2168197632,62.2932167053,62.5328445435
0.5,0.001,0.688573718071,0.691090464592,0.693428516388
0.5,0.1,0.634771108627,0.675389945507,0.665862798691
0.8,1e-05,70.8000335693,53.8000907898,53.6559486389
0.8,0.001,0.691481173038,0.693211019039,0.689090073109
0.8,0.1,0.683348834515,0.650231003761,0.642503917217
